,domain,keyword_title,url,ts,date,p,search_volume,cpc,competition,visibility,branded
68,manomano.fr,brasero,https://www.manomano.fr/brasero-et-cheminee-dexterieur-3070,2022-05-09 03:20:18,2022-05-09,3,49500,0,0,5643,0
69,manomano.fr,colonnes de douche,https://www.manomano.fr/colonne-de-douche-1506,2022-05-09 03:16:07,2022-05-09,3,49500,0,0,5643,0
70,manomano.fr,compresseur,https://www.manomano.fr/compresseur-1060,2022-05-09 03:22:27,2022-05-09,3,49500,0,0,5643,0
71,manomano.fr,groupe electrogene,https://www.manomano.fr/groupe-electrogene-2126,2022-05-09 03:22:27,2022-05-09,3,49500,0,0,5643,0
72,manomano.fr,lustre,https://www.manomano.fr/suspension-lustre-et-accessoires-2686,2022-05-09 03:20:20,2022-05-09,3,49500,0,0,5643,0
73,manomano.fr,miroirs salle de bain,https://www.manomano.fr/miroir-simple-de-salle-de-bain-79,2022-05-09 03:06:09,2022-05-09,3,49500,0,0,5643,0
74,manomano.fr,moustiquaire,https://www.manomano.fr/moustiquaire-2352,2022-05-09 03:16:11,2022-05-09,3,49500,0,0,5643,0
75,manomano.fr,parois de douche,https://www.manomano.fr/paroi-de-douche-2670,2022-05-09 03:16:08,2022-05-09,3,49500,0,0,5643,0
76,manomano.fr,portique vetement,https://www.manomano.fr/cat/portique+vetement,2022-05-09 03:12:52,2022-05-09,3,49500,0,0,5643,0
77,manomano.fr,tondeuses thermique,https://www.manomano.fr/tondeuse-thermique-842,2022-05-09 03:10:14,2022-05-09,3,49500,0,0,5643,0
78,manomano.fr,chaises scandinave,https://www.manomano.fr/cat/chaises+scandinaves,2022-05-09 03:16:13,2022-05-09,5,90500,0,0,5520,0
79,manomano.fr,poulailler,https://www.manomano.fr/poulailler-2563,2022-05-09 03:16:10,2022-05-09,5,90500,0,0,5520,0
80,manomano.fr,climatiseur mobile,https://www.manomano.fr/climatiseur-mobile-1461,2022-05-09 03:06:06,2022-05-09,8,165000,0,0,5115,0
81,manomano.fr,spa gonflables,https://www.manomano.fr/spa-gonflable-2874,2022-05-09 03:06:03,2022-05-09,8,165000,0,0,5115,0
82,manomano.fr,abris de jardin bois,https://www.manomano.fr/abri-de-jardin-bois-862,2022-05-09 03:20:19,2022-05-09,4,60500,0,0,4900,0
83,manomano.fr,chaises longue,https://www.manomano.fr/transat-bain-de-soleil-chaise-longue-2728,2022-05-09 03:12:53,2022-05-09,4,60500,0,0,4900,0
84,manomano.fr,chaussure de securite,https://www.manomano.fr/chaussures-de-securite-1866,2022-05-09 03:16:14,2022-05-09,4,60500,0,0,4900,0
85,manomano.fr,fauteuil relaxant,https://www.manomano.fr/cat/fauteuil+relax,2022-05-09 03:13:04,2022-05-09,4,60500,0,0,4900,0
86,manomano.fr,fauteuil relaxation,https://www.manomano.fr/cat/fauteuil+relax,2022-05-09 03:13:02,2022-05-09,4,60500,0,0,4900,0
87,manomano.fr,hesperide,https://www.manomano.fr/marque/hesperide-4912,2022-05-09 03:12:56,2022-05-09,4,60500,0,0,4900,0
88,manomano.fr,meuble,https://www.manomano.fr/hub/meuble-de-salon-4593,2022-05-09 03:10:06,2022-05-09,4,60500,0,0,4900,0
89,manomano.fr,lit cabane,https://www.manomano.fr/cat/lit+cabane,2022-05-09 03:10:04,2022-05-09,6,110000,0,0,4840,0
90,manomano.fr,bureau indus,https://www.manomano.fr/cat/bureau+industriel,2022-05-09 03:10:07,2022-05-09,1,14800,0,0,4810,0
91,manomano.fr,bureau industrielle,https://www.manomano.fr/cat/bureau+industriel,2022-05-09 03:13:04,2022-05-09,1,14800,0,0,4810,0
92,manomano.fr,caches radiateurs,https://www.manomano.fr/cache-radiateur-2042,2022-05-09 03:13:00,2022-05-09,1,14800,0,0,4810,0
93,manomano.fr,chevilles placo,https://www.manomano.fr/conseil/comment-poser-une-cheville-dans-du-placo-6801,2022-05-09 03:10:15,2022-05-09,1,14800,0,0,4810,0
94,manomano.fr,compteur electrique,https://www.manomano.fr/cat/compteur+electrique,2022-05-09 03:20:08,2022-05-09,1,14800,0,0,4810,0
95,manomano.fr,deco murale metal,https://www.manomano.fr/cat/decoration+murale+metal,2022-05-09 03:16:10,2022-05-09,1,14800,0,0,4810,0
96,manomano.fr,etageres industrielles,https://www.manomano.fr/cat/etagere+industrielle,2022-05-09 03:10:10,2022-05-09,1,14800,0,0,4810,0
97,manomano.fr,masque anti virus,https://www.manomano.fr/cat/masque+anti+virus,2022-05-09 03:05:59,2022-05-09,1,14800,0,0,4810,0
98,manomano.fr,ponceuses girafe,https://www.manomano.fr/ponceuse-girafe-2396,2022-05-09 03:16:09,2022-05-09,1,14800,0,0,4810,0
99,manomano.fr,reducteurs de pression,https://www.manomano.fr/reducteur-de-pression-1602,2022-05-09 03:13:03,2022-05-09,1,14800,0,0,4810,0
100,manomano.fr,remorque double essieux,https://www.manomano.fr/cat/remorque+double+essieux,2022-05-09 03:16:03,2022-05-09,1,14800,0,0,4810,0
101,manomano.fr,tables basses en verre,https://www.manomano.fr/cat/table+basse+verre,2022-05-09 03:13:04,2022-05-09,1,14800,0,0,4810,0
102,manomano.fr,telemetre laser,https://www.manomano.fr/telemetre-laser-telemetre-infrarouge-502,2022-05-09 03:12:54,2022-05-09,1,14800,0,0,4810,0
103,manomano.fr,cabanes en bois,https://www.manomano.fr/cat/cabane+bois,2022-05-09 03:20:19,2022-05-09,2,27100,0,0,4769,0
104,manomano.fr,facom,https://www.manomano.fr/marque/facom-651,2022-05-09 03:13:02,2022-05-09,2,27100,0,0,4769,0
105,manomano.fr,niveaux laser,https://www.manomano.fr/niveau-laser-506,2022-05-09 03:16:10,2022-05-09,2,27100,0,0,4769,0
106,manomano.fr,table basse ronde,https://www.manomano.fr/cat/table+basse+ronde,2022-05-09 03:20:17,2022-05-09,2,27100,0,0,4769,0
